_id,Tip imobil,Tip strada,Denumire strada,Zona,S utila,Pret tranzactie LEI,An constructie imobil,Perioada tranzactie
4,apartament,Alee,ARGEDAVA,colentina,83.3,361380,2022.0,2024-T4
5,apartament,Alee,ARGEDAVA,colentina,82.7,612500,2022.0,2024-T3
6,apartament,Alee,ARGEDAVA,colentina,82.7,414967,2022.0,2024-T2
7,apartament,Alee,ARRUBIUM,colentina,99.33,562265,2010.0,2024-T2
8,apartament,Alee,AVRIG,colentina,45.2,368172,1961.0,2024-T3
9,apartament,Alee,AVRIG,colentina,45.42,388135,1963.0,2024-T4
10,apartament,Alee,AVRIG,colentina,45.89,391130,1963.0,2024-T2
11,apartament,Alee,AVRIG,colentina,45.99,333044,1963.0,2024-T2
12,apartament,Alee,AVRIG,colentina,64.66,490000,1963.0,2024-T4
13,apartament,Alee,AVRIG,colentina,27.1,223000,1978.0,2024-T4
14,apartament,Alee,AVRIG,colentina,27.58,260000,1978.0,2024-T1
15,apartament,Alee,AVRIG,colentina,28.31,238473,1978.0,2024-T2
16,apartament,Alee,AVRIG,colentina,29.27,248550,1980.0,2024-T1
17,apartament,Alee,AVRIG,colentina,31.13,225000,1978.0,2024-T1
18,apartament,Alee,AVRIG,iancului,43.6,592191,2013.0,2024-T4
19,apartament,Alee,AVRIG,iancului,30.6,338423,1980.0,2024-T4
20,apartament,Alee,AVRIG,colentina,30.32,205042,1979.0,2024-T4
21,apartament,Alee,AVRIG,colentina,33.22,273212,1979.0,2024-T1
22,apartament,Alee,AVRIG,colentina,45.5,422935,1962.0,2024-T2
23,apartament,Alee,BISTRICIOARA,colentina,71.99,423027,1987.0,2024-T2
24,apartament,Alee,BISTRICIOARA,colentina,38.94,303514,2000.0,2024-T4
25,apartament,Alee,BRASOVENI,tei,23.55,190000,1984.0,2024-T1
26,apartament,Alee,BRASOVENI,tei,50.4,348348,1984.0,2024-T4
27,apartament,Alee,BRASOVENI,tei,51.0,448175,1983.0,2024-T3
28,apartament,Alee,BRASOVENI,tei,54.22,452652,1984.0,2024-T3
29,apartament,Alee,BURIDAVA,colentina,54.92,308568,2012.0,2024-T2
30,apartament,Alee,BURIDAVA,colentina,53.76,556864,2016.0,2024-T4
31,apartament,Alee,CAMPUL MOSILOR,colentina,62.0,373170,1976.0,2024-T4
32,apartament,Alee,CAMPUL MOSILOR,colentina,58.43,390561,1975.0,2024-T3
33,apartament,Alee,CAMPUL MOSILOR,colentina,62.23,460317,1976.0,2024-T2
34,apartament,Alee,CENUSERESEI,centrala,65.6,522438,1991.0,2024-T2
35,apartament,Alee,CENUSERESEI,centrala,65.02,625375,1981.0,2024-T4
36,apartament,Alee,CIRCULUI,tei,45.1,631927,1991.0,2024-T2
37,apartament,Alee,CIRCULUI,tei,52.89,572206,1975.0,2024-T2
38,apartament,Alee,CIRCULUI,tei,60.82,574542,1960.0,2024-T4
39,apartament,Alee,CISLAU,iancului,50.98,328000,1985.0,2024-T1
40,apartament,Alee,CISLAU,iancului,51.36,370555,1985.0,2024-T1
41,apartament,Alee,CISLAU,iancului,23.8,198964,1985.0,2024-T3
42,apartament,Alee,CISLAU,iancului,51.4,338640,1985.0,2024-T4
43,apartament,Alee,CISLAU,iancului,36.06,248845,1986.0,2024-T2
44,apartament,Alee,CISLAU,iancului,36.79,198800,1982.0,2024-T1
45,apartament,Alee,CISLAU,iancului,36.87,313110,1992.0,2024-T3
46,apartament,Alee,CISLAU,iancului,78.56,531554,1993.0,2024-T2
47,apartament,Alee,CISLAU,iancului,36.87,300950,1982.0,2024-T3
48,apartament,Alee,CISLAU,iancului,33.11,221449,1992.0,2024-T3
49,apartament,Alee,CISLAU,iancului,36.2,205000,1991.0,2024-T2
50,apartament,Alee,CISLAU,iancului,36.3,340897,1985.0,2024-T4
51,apartament,Alee,CISLAU,iancului,36.6,283518,1985.0,2024-T1
52,apartament,Alee,CODLEA,pantelimon,34.61,204065,1983.0,2024-T2
53,apartament,Alee,CODLEA,pantelimon,31.63,136000,1982.0,2024-T2
54,apartament,Alee,CODLEA,pantelimon,31.8,338395,1980.0,2024-T4
55,apartament,Alee,COZIA,colentina,47.95,288507,2009.0,2024-T1
56,apartament,Alee,COZIA,colentina,69.86,398120,2008.0,2024-T1
57,apartament,Alee,CUMIDAVA,colentina,34.74,258711,2016.0,2024-T3
58,apartament,Alee,DEDA,centrala,27.92,251328,1980.0,2024-T2
59,apartament,Alee,DEDA,centrala,27.95,274769,1982.0,2024-T1
60,apartament,Alee,DEDA,centrala,28.1,269293,1982.0,2024-T4
61,apartament,Alee,DEDA,centrala,31.04,139160,1980.0,2024-T1
62,apartament,Alee,DEDA,centrala,31.07,251187,1991.0,2024-T1
63,apartament,Alee,DEDA,centrala,28.5,261213,1982.0,2024-T3
64,apartament,Alee,DEDA,centrala,35.67,173950,1980.0,2024-T1
65,apartament,Alee,DEDA,centrala,49.45,303579,1989.0,2024-T2
66,apartament,Alee,DEDA,centrala,87.54,701601,1936.0,2024-T4
67,apartament,Alee,DIHAM,pantelimon,50.89,363294,1982.0,2024-T2
68,apartament,Alee,DIHAM,pantelimon,48.1,84612,1980.0,2024-T2
69,apartament,Alee,DIHAM,pantelimon,65.43,505000,1981.0,2024-T2
70,apartament,Alee,DIHAM,pantelimon,80.45,622062,1981.0,2024-T4
71,apartament,Alee,DIHAM,pantelimon,81.4,646867,1981.0,2024-T4
72,apartament,Alee,DIHAM,pantelimon,50.6,440000,1981.0,2024-T2
74,apartament,Alee,DOBRINA,pantelimon,27.37,270000,1983.0,2024-T4
75,apartament,Alee,DOBRINA,pantelimon,27.83,212500,1982.0,2024-T3
76,apartament,Alee,DOBRINA,pantelimon,28.03,268531,1980.0,2024-T3
77,apartament,Alee,DOBRINA,pantelimon,28.33,237743,1997.0,2024-T3
78,apartament,Alee,DOBRINA,pantelimon,30.58,251333,1983.0,2024-T4
79,apartament,Alee,DOBRINA,pantelimon,27.73,213700,1979.0,2024-T1
80,apartament,Alee,DOBRINA,pantelimon,66.64,525000,1978.0,2024-T1
81,apartament,Alee,DOBRINA,pantelimon,31.52,99524,1977.0,2024-T4
82,apartament,Alee,DOBRINA,pantelimon,47.13,423037,1984.0,2024-T1
83,apartament,Alee,DOBRINA,pantelimon,81.05,584727,1984.0,2024-T1
84,apartament,Alee,DOBRINA,pantelimon,51.05,377750,1979.0,2024-T2
85,apartament,Alee,DOBRINA,pantelimon,51.3,368276,1979.0,2024-T3
86,apartament,Alee,DOBRINA,pantelimon,55.1,348370,1979.0,2024-T2
87,apartament,Alee,DOBRINA,pantelimon,77.7,446985,1984.0,2024-T1
88,apartament,Alee,DOBRINA,pantelimon,32.12,208917,1980.0,2024-T3
89,apartament,Alee,HOBITA,pantelimon,62.83,368231,1977.0,2024-T2
90,apartament,Alee,HOBITA,pantelimon,80.45,388135,1977.0,2024-T4
91,apartament,Alee,HOBITA,pantelimon,48.6,306045,1979.0,2024-T2
92,apartament,Alee,HOBITA,pantelimon,31.17,147452,1979.0,2024-T1
93,apartament,Alee,HOBITA,pantelimon,48.37,435513,1978.0,2024-T4
94,apartament,Alee,HOBITA,pantelimon,48.52,387933,1978.0,2024-T4
95,apartament,Alee,HOBITA,pantelimon,65.03,497290,1977.0,2024-T3
96,apartament,Alee,HOBITA,pantelimon,31.51,288650,1978.0,2024-T2
97,apartament,Alee,HOBITA,pantelimon,52.03,363139,1978.0,2024-T3
98,apartament,Alee,HOBITA,pantelimon,70.7,532432,1977.0,2024-T2
99,apartament,Alee,ILIA,pantelimon,35.76,272500,1973.0,2024-T2
100,apartament,Alee,ILIA,pantelimon,36.85,261287,1976.0,2024-T1
101,apartament,Alee,ILIA,pantelimon,34.9,241299,1976.0,2024-T2
102,apartament,Alee,ILIA,pantelimon,35.64,276134,1976.0,2024-T2
103,apartament,Alee,ILIA,pantelimon,40.4,169558,1975.0,2024-T3
104,apartament,Alee,ILIA,pantelimon,42.85,223664,1976.0,2024-T2
105,apartament,Alee,ILIA,pantelimon,34.26,268510,1970.0,2024-T4
106,apartament,Alee,ILIA,pantelimon,35.15,236377,1975.0,2024-T4
107,apartament,Alee,ILIA,pantelimon,34.88,298590,1977.0,2024-T3
108,apartament,Alee,ILIA,pantelimon,37.0,303462,1975.0,2024-T2
109,apartament,Alee,ILIA,pantelimon,35.73,258674,1975.0,2024-T3
110,apartament,Alee,ILIA,pantelimon,35.98,283490,1974.0,2024-T4
111,apartament,Alee,ILIA,pantelimon,48.47,358142,1975.0,2024-T3
112,apartament,Alee,LUNCSOARA,centrala,30.92,385000,1983.0,2024-T4
113,apartament,Alee,LUNCSOARA,centrala,31.01,273504,1982.0,2024-T3
114,apartament,Alee,LUNCSOARA,centrala,52.03,417648,1982.0,2024-T4
115,apartament,Alee,LUNCSOARA,centrala,31.51,323232,1993.0,2024-T1
116,apartament,Alee,LUNGULETU,centrala,39.52,323251,1935.0,2024-T4
117,apartament,Alee,LUNGULETU,centrala,56.84,367370,1974.0,2024-T2
118,apartament,Alee,LUNGULETU,centrala,64.62,471200,1960.0,2024-T1
119,apartament,Alee,LUNGULETU,centrala,45.34,315206,1962.0,2024-T1
120,apartament,Alee,LUNGULETU,centrala,45.9,298200,1991.0,2024-T2
121,apartament,Alee,LUNGULETU,centrala,46.01,423053,1967.0,2024-T2
122,apartament,Alee,LUNGULETU,centrala,46.07,335685,1963.0,2024-T1
123,apartament,Alee,LUNGULETU,centrala,46.1,268706,1963.0,2024-T2
124,apartament,Alee,LUNGULETU,centrala,46.23,335941,1963.0,2024-T1
125,apartament,Alee,LUNGULETU,centrala,46.5,273641,1973.0,2024-T1
126,apartament,Alee,LUNGULETU,centrala,46.74,323485,1963.0,2024-T3
127,apartament,Alee,LUNGULETU,centrala,47.08,348355,1964.0,2024-T2
128,apartament,Alee,LUNGULETU,centrala,50.3,300000,1970.0,2024-T1
129,apartament,Alee,LUNGULETU,centrala,51.19,208924,1963.0,2024-T4
130,apartament,Alee,LUNGULETU,centrala,58.42,358286,1963.0,2024-T2
131,apartament,Alee,LUNGULETU,centrala,58.9,354460,1965.0,2024-T2
132,apartament,Alee,LUNGULETU,centrala,59.3,373037,1963.0,2024-T3
133,apartament,Alee,LUNGULETU,centrala,59.58,398168,1970.0,2024-T2
134,apartament,Alee,MAGURA VULTURULUI,iancului,30.98,278572,1981.0,2024-T4
135,apartament,Alee,MOZAICULUI,pantelimon,40.7,342930,1978.0,2024-T3
